	AERIS_SRR5383463	AERIS_SRR5383475	AERIS_SRR5383487	AERIS_SRR5384368	AERIS_SRR5384381	AERIS_SRR5384382	AERIS_SRR5384388	AERIS_SRR5384404	AERIS_SRR5384406	AERIS_SRR5384417	AERIS_SRR5384418	AERIS_SRR5384423	AERIS_SRR5384431	AERIS_SRR5384435	AERIS_SRR5384439	AERIS_SRR5384442	AERIS_SRR5384450	AERIS_SRR5384453	AERIS_SRR5384565	AERIS_SRR5384566	AERIS_SRR5384567	AERIS_SRR5384577	AERIS_SRR5384578	AERIS_SRR5384589	AERIS_SRR5384590	AERIS_SRR5384591	AERIS_SRR5384598	AERIS_SRR5384599	AERIS_SRR5384600	AERIS_SRR5384610	AERIS_SRR5384611	AERIS_SRR5384612	AERIS_SRR5384623	AERIS_SRR5384624	AERIS_SRR5384634	AERIS_SRR5384635	AERIS_SRR5384646	AERIS_SRR5384647	AERIS_SRR5385010	AERIS_SRR5385012	AERIS_SRR5385013	AERIS_SRR5385014	AERIS_SRR5385016	AERIS_SRR5385019	AERIS_SRR5385024	AERIS_SRR5385025	AERIS_SRR5385026	AERIS_SRR5385029	AERIS_SRR5385030	AERIS_SRR5385031	AERIS_SRR5385032	AERIS_SRR5385033	AERIS_SRR5385034	AERIS_SRR5385035	AERIS_SRR5385036	AERIS_SRR5385037	AERIS_SRR5385040	AERIS_SRR5385041	AERIS_SRR5385042	AERIS_SRR5385044	AERIS_SRR5385046	AERIS_SRR5385049	AERIS_SRR5385050	AERIS_SRR5385051	AERIS_SRR5385056	AERIS_SRR5385057	AERIS_SRR5385058	COPDMAP_SRR5382995	COPDMAP_SRR5383008	COPDMAP_SRR5383024	COPDMAP_SRR5383025	COPDMAP_SRR5383026	COPDMAP_SRR5383027	COPDMAP_SRR5383028	COPDMAP_SRR5383029	COPDMAP_SRR5383030	COPDMAP_SRR5383031	COPDMAP_SRR5383033	COPDMAP_SRR5383034	COPDMAP_SRR5383036	COPDMAP_SRR5383037	COPDMAP_SRR5383038	COPDMAP_SRR5383039	COPDMAP_SRR5383040	COPDMAP_SRR5383041	COPDMAP_SRR5383042	COPDMAP_SRR5383043	COPDMAP_SRR5383044	COPDMAP_SRR5383051	COPDMAP_SRR5383052	COPDMAP_SRR5383055	COPDMAP_SRR5383056	COPDMAP_SRR5383057	COPDMAP_SRR5383058	COPDMAP_SRR5383059	COPDMAP_SRR5383060	COPDMAP_SRR5383061	COPDMAP_SRR5383063	COPDMAP_SRR5383064	COPDMAP_SRR5383065	COPDMAP_SRR5383068	COPDMAP_SRR5383069	COPDMAP_SRR5383161	COPDMAP_SRR5383167	COPDMAP_SRR5383189	COPDMAP_SRR5383245	COPDMAP_SRR5383246	COPDMAP_SRR5383247	COPDMAP_SRR5383248	COPDMAP_SRR5383252	COPDMAP_SRR5383253	COPDMAP_SRR5383254	COPDMAP_SRR5383255	COPDMAP_SRR5383256	COPDMAP_SRR5383257	COPDMAP_SRR5383258	COPDMAP_SRR5383261	COPDMAP_SRR5383263	COPDMAP_SRR5383264	COPDMAP_SRR5383278	COPDMAP_SRR5383281	COPDMAP_SRR5383284	COPDMAP_SRR5383290	COPDMAP_SRR5383291	COPDMAP_SRR5383292	COPDMAP_SRR5383295	COPDMAP_SRR5383298	COPDMAP_SRR5383299	COPDMAP_SRR5383310	COPDMAP_SRR5383313	COPDMAP_SRR5383314	COPDMAP_SRR5383318	COPDMAP_SRR5383320	COPDMAP_SRR5383324	COPDMAP_SRR5383325	COPDMAP_SRR5383329	COPDMAP_SRR5383331	COPDMAP_SRR5383332	COPDMAP_SRR5383333	COPDMAP_SRR5383335	COPDMAP_SRR5383336	COPDMAP_SRR5383340	COPDMAP_SRR5383342	COPDMAP_SRR5383343	COPDMAP_SRR5383344	COPDMAP_SRR5383345	COPDMAP_SRR5383346	COPDMAP_SRR5383347	COPDMAP_SRR5383348	COPDMAP_SRR5383349	COPDMAP_SRR5383350	COPDMAP_SRR5383351	COPDMAP_SRR5383352	COPDMAP_SRR5383353	COPDMAP_SRR5383354	COPDMAP_SRR5383355	COPDMAP_SRR5383356	COPDMAP_SRR5383357	COPDMAP_SRR5383358	COPDMAP_SRR5383359	COPDMAP_SRR5383361	COPDMAP_SRR5383362	COPDMAP_SRR5383363	COPDMAP_SRR5383365	COPDMAP_SRR5383366	COPDMAP_SRR5383367	COPDMAP_SRR5383368	COPDMAP_SRR5383369	COPDMAP_SRR5383371	COPDMAP_SRR5383373	COPDMAP_SRR5383374	COPDMAP_SRR5383375	COPDMAP_SRR5383377	COPDMAP_SRR5383378	COPDMAP_SRR5383379	COPDMAP_SRR5383387	COPDMAP_SRR5383388	COPDMAP_SRR5383389	COPDMAP_SRR5383390	COPDMAP_SRR5383391	COPDMAP_SRR5383392
[Prevotella]	0.00035003	0.000210136	0.002377955	0.006116315	0.000104497	0.000174721	0.000209864	0.000139349	0.006827365	0.000174697	0.000939163	0.004653115	0.001118725	0.031885171	0.000768559	0.000594946	0.121765282	0.028844137	0.000174575	0.002935626	0.003147073	0.000210047	0.007777623	0.000978337	0.000139533	0.000209922	0.001991684	0.017817839	0.006985191	0.001077886	0.002236355	0.061907925	0.000173919	0.000209878	0.000104391	0.003395764	0.037645663	0.009680576	0.03198936	0.000210011	0.005417307	0.000174795	0.000104453	0.000139392	0.025350537	0.000871596	0.008484933	0.000104442	0.018756999	0.079696461	0.000245184	0.032935494	0.017861512	0.001572272	0.003561577	0.031057423	0.000385302	0.005730659	0.000210077	0.000209915	0.000418556	0.000210062	0.000245192	0.000766497	0.001639287	0.000348262	0.000174587	0.004750594	0	0.000803017	0.000488878	3.47E-05	0.001979717	0.004116662	0.013022284	0.001566525	0.005257111	0.001814755	0.003424059	0.013995044	0.007475661	0.004697613	0.001812794	0.001116188	0.001260637	0.000139378	0.000417246	0.011302983	0.004029715	0.012149435	0.00059399	0.000487346	0.015657291	0.001083424	0.000555942	0.00247957	0.003050063	0.001712628	0.001259754	0.002486691	0.053606443	0.000594572	0.00329732	0.000487839	0.002909218	0	0.011213512	0.001190601	0.002514581	0.012180183	0.000452725	0.006133259	0.002733964	0.001296335	0.001046609	0.008914891	0.003330762	0.003572805	0.016592572	0.005183162	0.000943001	0.012704618	0.004513172	0.005466396	0.052115438	0.00174972	0.003646308	0.002525873	0.003326447	0.001187773	0.00625	0.000980186	0.000452741	0.000278435	0.002697873	0.004525839	0	0.00382255	0.000279359	0.003225128	0.007534796	0.002701849	0.001505339	0.001681261	0.007961839	0.002587413	0.000869868	0.010555652	0.002484602	0.003395764	0.004413155	0.002420968	0.002525873	0.000976733	0.001816467	0.000456028	0	0.000804477	0.002174066	0.00070173	0.002524898	0.001460412	0.000735552	0.001398113	0.014136383	0.001647909	0.00213324	0.006113751	0.003891596	0.00270147	0.003431132	0.004837353	0.002944785	0.002140126	0.002805049	0	0.001542831	0.001294748	0.002876688	0.002445842	0.001017472
[Ruminococcus]	0	0.000245158	6.99E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000280063	0.000244226	0	0.002064959	0.000245012	3.50E-05	0	0	0	0.000244764	0	0.000104752	0	0.000454927	0.00017485	0	0	0.001013667	0.000139758	0	0	0	0.000244601	3.50E-05	0.001049575	6.98E-05	0	0.000770605	0.000243885	0.000104635	6.97E-05	0.000174587	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0.00045523	0	0	0.000104657	0.000420492	0.000945345	0.001327743	0.000208863	0.000350275	0.000733932	0	3.49E-05	0	0.000489322	0.000279945	0	0.000630252	0.000104924	3.51E-05	0	0	0	0	0	3.49E-05	7.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51E-05	0	0	0	0.000104749	0	0	0	0	0	0	0	0	0	0	3.51E-05	0	0	3.51E-05	0	0	0	0	3.50E-05	0.000245175	0	0.000105245	0	3.49E-05	0	3.49E-05	0	0	0	0	0	0.000700525	0	0	0	0	3.49E-05	3.51E-05	0	0	0	0	0	0	0	0	0	0.000315734	3.49E-05	3.51E-05
1-68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	3.49E-05	0	0	0	0	0	0.000104924	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0
Abiotrophia	0	0	0	0.000139801	0	0	0.000139909	0	0	0.000384333	3.48E-05	0	0	0.000977858	0.000104803	0	0	0	0	0	0	0	0.000732422	0	0	0	0	0.000244559	0	3.48E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000209505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000244422	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	3.49E-05	0	0	0	0	0	0.000104924	3.51E-05	0	0	0	0	0	3.49E-05	0.000420006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51E-05	3.51E-05	0	0	0.000139665	0	0	0.004176528	0	0.001263025	0	0.01616693	0	0	0	3.51E-05	0	0	3.51E-05	0	0	0	0	3.50E-05	0	3.51E-05	3.51E-05	0	3.49E-05	3.51E-05	3.49E-05	0	0	3.51E-05	3.51E-05	0	0	0	3.51E-05	0	0	3.49E-05	3.51E-05	3.51E-05	0	0	0	3.51E-05	0	0	0	0	3.51E-05	3.49E-05	3.51E-05
Acholeplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	3.49E-05	0	0	0	0	0	0.000104924	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0
Achromobacter	0	0	0	0	0	0	0	0	0.000174167	0	0	0	0	0	0.000174672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000384373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011769239	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0.000104924	0	0	0	0	0	0	0	0	0	0	0	0.000104924	0	0	0	0	3.49E-05	0	0	0	0	0	0.000104924	3.51E-05	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51E-05	3.51E-05	0	0	0	0	0	0	0	3.51E-05	0	0	0	0	0	3.51E-05	0	0	3.51E-05	0	0	0	0	3.50E-05	0	3.51E-05	3.51E-05	0	3.49E-05	3.51E-05	3.49E-05	0	0	3.51E-05	0	0	0	0	3.51E-05	0	0	3.49E-05	3.51E-05	3.51E-05	0	0	0	3.51E-05	0	0	0	0	3.51E-05	3.49E-05	3.51E-05
Acidaminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.99E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	3.49E-05	0	0	0	0	0	0.000104924	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0
Acinetobacter	0.000315027	0.001365881	0.000664429	0.000279603	0.000174161	0.000279554	0.000314795	0.000209023	0.003378849	0.000279515	0.000139135	0.000314872	0.000279681	0.005168681	0.000244541	0.000524953	0.001888376	0.000279701	0.000593555	0.000279583	0.00027974	0.000315071	0.000209263	0.000279525	0.0002093	0.000314883	0.000279535	0.000244559	0.000244482	0.000139082	0.000628975	0.000279652	0.000173919	0.000279838	0.000173986	0.000315071	0.000209336	0.000279583	0.000734985	0.001120056	0.000803859	0.000279671	0.000174089	0.000209088	0.00027973	0.000209183	0.000244422	0.00017407	0.00031495	0.000839278	0.01408056	0.000315005	0.001433115	0.000244576	0.000244422	0.000315126	0.001190935	0.000244601	0.000315115	0.005002974	0.000837112	0.000315093	0.000350275	0.000174204	0.000209271	0.000174131	0.000244422	0.001292441	0.000139116	0.000698275	0.000174599	0.000208283	0.000138927	0.000418644	0.000348189	6.96E-05	0.000174077	0.001151672	0.002201181	0.000209402	6.95E-05	0.000521957	0.000278891	0.000104643	0.001015513	6.97E-05	0.000139082	0	0.000630738	0.000350128	0.001048218	0.000208863	0.00070055	0.000664034	0	0.001082629	0.00077128	0.00020971	0.000524898	0.000385262	0.00052521	0.000349748	0.000947103	0.000696913	0.000911321	0.000768693	0.000735887	0.00045523	0.001117592	0.000385006	0.000104475	0.00017424	0.000560813	0.000770794	0.000383757	0.00027859	0.000490849	0.00070055	0.000560087	0.000490299	0.000209556	0.000698056	0.000664731	0.001226435	0.000700476	0.000489922	0.000806395	0.000596387	0.00073532	0.000454148	0.000384078	0.000455086	6.97E-05	0.000104413	0.000595634	0.000912185	0.000594676	0.002314571	0.000244439	0.001086728	0.000453483	0.000842135	0.000455102	0.001015762	0.000771632	0.000734266	0.000208768	0.000104511	0.000909854	0.000910205	0.000455326	0.000771903	0.000877039	0.000174417	0.001152758	0.000982215	0.000733522	0.000244841	0.000771443	0.001017508	0.001016973	0.000173859	0.000875657	0.000734009	0.000385857	0.000455804	0.00031474	0.00073365	0.001437436	0.001543697	0.000280092	0.000841279	0.000525855	0.000421008	0.000490884	0.000525541	0.001192188	0.000524898	0.000701631	0.004751922	0.000526279
Actinobacillus	2.80024E-05	0.000028018	0.000020982	0.009632322	6.96646E-05	2.09666E-05	2.79818E-05	1.39349E-05	0.000550369	0.003787429	0.000584368	2.79886E-05	0.000020976	0.00778096	2.09606E-05	2.79974E-05	0.000027976	2.09776E-05	0.000020949	2.09688E-05	0.000251766	0.000245055	0.030538504	2.09644E-05	0.00002093	2.79896E-05	0.000020965	2.09622E-05	2.09556E-05	6.9541E-06	2.09658E-05	2.09738E-05	1.39135E-05	2.79838E-05	0.000153107	2.80064E-05	1.39558E-05	2.09688E-05	2.79994E-05	2.80014E-05	2.09702E-05	2.09754E-05	1.39271E-05	1.39392E-05	2.09798E-05	1.39455E-05	2.09504E-05	1.39256E-05	2.79956E-05	0.000020982	0.000028021	2.80004E-05	2.09724E-05	2.09636E-05	2.09504E-05	2.80112E-05	0.000028022	2.09658E-05	2.80102E-05	2.79886E-05	2.09278E-05	2.80082E-05	0.000028022	1.39363E-05	0.000530152	0.003496552	2.09504E-05	0.000307391	6.9558E-06	2.09482E-05	0.000104895	0	4.86246E-05	0.000146525	4.17828E-05	0	2.78522E-05	1.39597E-05	0.000174697	0	0	2.08782E-05	0	4.88332E-05	7.00354E-05	6.96888E-06	8.34492E-05	0.00274202	0.000749877	0.001400511	0.000055905	0	0.000112088	0.000041939	0.000118138	0.000167633	0.000266442	0	0.00030794	7.70524E-05	0.000189076	6.99496E-05	8.41868E-05	4.87838E-05	0.000175254	2.79524E-05	4.20506E-05	2.10106E-05	0.000188594	0.000112002	0.00005572	0	0.000301437	0.000133137	4.88418E-05	7.66124E-05	0.000126218	0.000105082	0.000084013	0.000119073	4.19112E-05	0	7.69688E-05	0.000126148	0.000112076	0.000531915	0.000154267	0.000168392	0.000231101	2.09606E-05	0.000027933	1.40027E-05	0	2.08826E-05	6.30672E-05	0.000238571	4.89734E-05	0.001066106	0.000202535	7.71226E-05	0.00006279	0.00012632	6.30142E-05	0.000056042	7.71632E-05	0.000104895	6.26304E-05	2.09022E-05	6.99888E-05	0.000182041	0.000104895	0.000104895	0.000147343	0	0.000202606	0.000645456	0.000146704	0.00007695	0.000231433	0.000161398	0.000104895	0	0.000182137	0.000104895	0.000231514	0.000105186	0.000384683	0.000251537	0.000189321	8.42016E-05	0.000119039	0.000813236	0.000329535	4.91176E-05	0.000056101	0.000140144	8.41544E-05	6.99864E-05	0.000168392	0.000174703	0.008511683
Actinomyces	0.040988484	0.003011943	0.015771437	0.00657067	0	0.007757627	0.001678909	0	0.00428452	0.006393907	0.001078298	0.010670678	0.002761851	0.004854369	0.008069869	0.029257367	0.000419639	0.019928676	0.000663385	0.000908646	0.001958179	0.001540347	0.012590681	0.016352201	6.98E-05	0.022531663	0.006184702	0.008873982	0.008975971	0.005702364	0.001432665	0.004124865	0.000243487	0.02060305	0.001913842	0.005076142	0.00404717	0.00657021	0.001959961	0.007840392	0.010555012	0.006747072	0	0	0.015490052	0.000383502	0.017877719	0.001114051	0.006893897	0.008882361	0	0.004900074	0.023943514	6.99E-05	0.013652711	0.005602241	0.00210165	0.007477811	0.000875319	0.009096316	0	0.003290971	0.005114015	0.002543377	3.49E-05	0.001810963	0.004713852	0.001432164	0.008346955	0.365232875	0.000872996	0.000485993	0.504584607	0.0008024	0.00066156	0.000661422	0.000661491	0.028233405	0.001502393	0.000837609	0.000556328	0.187034588	0.000766951	0.00080226	0.001120566	0.000696888	0.000556328	0.000802372	0.001191394	0.008928259	0.001502446	0.576495979	0.001155907	0.184496558	0.000555942	0.001431864	0.001262095	0.000943693	0.001049795	0.001120762	0.001120448	0.002763011	0.023432019	0.016133528	0.029092184	0.012823201	0.017556155	0.024687467	0.02196766	0.022960344	0.004736201	0.008224143	0.021451104	0.020531147	0.012698856	0.007765706	0.022193395	0.029423097	0.021598348	0.000315192	0.000244482	0.000209417	0.000279887	0.000315369	0.000315214	0.000279955	0.000385667	0.000350816	0.000315137	0.000244541	0.000209497	0.000280053	0.000174131	0.000139218	0.000315336	0.00035084	0.000279847	0.000350693	0.000244439	0.000315502	0.0002093	0.000385978	0.000280063	0.000315236	0.000385816	0.00027972	0.000139179	0.000174186	0.000279955	0.000385087	0.000315225	0.000350865	0.000350816	0.0002093	0.000384253	0.000350791	0.000384226	0.000279818	0.000350656	0.000350865	0.00035068	0.000139087	0.000315236	0.00024467	0.000350779	0.000350619	0.000279769	0.000419229	0.000385654	0.00035084	0.017295708	0.00031548	0.000315513	0.00035084	0.000350631	0.000315325	0.000350643	0.000279945	0.000350816	0.000384347	0.000350853
