#SampleID	SD2	RD1	SD3	ST1	RD2	ST2	SD4	ST3	RD3	SD5	RD4	SD6	ST4	SD7	SD8	RD5	RD6	RD7	SD9	ST5	SD10	SD11	SD12	RD8	SD13	ST7	RD9	SD14	RD10	SD15	ST8	ST9	ST10	RD11	ST11	ST12	SD16	SD17	ST13	ST14	ST15	ST16	RD12	SD18	SD19	ST17	SD20	RD13	ST18	ST19	SD21	ST20	SD22	SD23	SD24	ST21	SD25	RD15
HMDB0031858	-0.365484829	0.194285545	0.932403884	-0.513845452	0.997862199	0.411608482	0.334614546	-0.257305809	0.710585458	-0.268000741	0.205748879	0.955143078	-0.398489738	0.029114687	-0.462500878	0.323442648	-0.711676322	1.617729202	-1.268908442	-1.073850971	0.008294749	0.987647033	1.322940583	-0.433494925	0.25770824	1.826719715	0.164445593	0.183592095	1.776251793	0.25770824	0.25770824	-0.732618722	0.710585458	-0.022336828	-0.888752922	0.123660023	-1.154248451	0.675102181	0.662382387	-0.783706187	-0.287661367	2.250427526	0.049611292	0.838755029	-0.257305809	-0.443595467	0.060371482	0.781084808	0.25770824	0.094786761	0.299222396	1.131633906	0.48847318	-2.92150731	2.31856358	1.380412194	0.103721785	-1.929032105
C06454	-0.648885268	-0.218099777	0.961170296	-0.06425083	1.402910737	0.77074804	0.694481922	0.307261999	0.207584338	-0.875633962	0.236533922	0.932060029	-0.637225183	-0.078241107	-1.079670898	0.570821664	-0.548872983	1.829195436	-1.443790462	-1.655405565	0.320846417	0.614742658	0.193514454	-0.536187004	-0.397453018	1.924491622	0.913864115	1.07182589	1.418531529	1.276312317	1.056790274	-0.147736467	1.153383033	0.46337982	-0.300112181	0.631681826	-0.492799698	0.694481922	1.011086007	0.694481922	-0.637225183	2.625151846	-0.522404781	1.07182589	0.292716571	-0.032970067	-0.06425083	0.599814353	0.025357893	0.265202114	0.428378403	0.754884889	0.660139066	-2.526423597	2.196599473	1.434941493	-0.047769361	-1.504111836
C06791	-0.66827419	-0.27590655	0.93428298	-0.58020605	1.2894989	0.91920025	0.75397671	0.2045039	0.64311305	-0.19318374	0.65507177	1.33291611	-0.091416	0.11032292	-0.99376056	0.44348511	-1.37183168	1.75998395	-1.59549235	-0.81708203	0.29323404	0.47014231	0.28072545	-0.84135861	-0.06398352	1.4829412	0.53342978	0.75397671	1.97956167	1.00297157	1.1506484	-0.19318374	0.54583861	-0.07829576	-1.24834034	0.24414133	-0.56526012	0.93428298	0.8909667	0.87713135	-1.18143157	2.99615577	-0.091416	1.10665315	0.33443553	0.21814253	0.35834093	0.8909667	0.15250824	0.48241649	0.66861717	0.79598951	0.52221844	-2.53073483	2.05951634	1.01696406	0.13830042	-1.47185328
C00826	2.039282299	0.684285879	0.362584256	-1.044016837	2.2506596	0.366094873	0.168670869	1.613667191	0.212897013	2.070355725	0.574482195	0.413048645	-0.65554364	0.569807997	1.494902451	-0.349417811	-1.870988432	-0.596122798	-1.60263602	-1.076648576	-0.143963548	0.731545202	0.620272427	0.149635097	0.623996703	1.973685414	-1.338802663	-0.827394962	0.882055318	0.106175259	3.237981964	-0.802396865	0.473524435	-0.41421405	-1.89101952	-0.393191244	-1.01913842	-0.306648493	-0.317321408	-0.882123183	-0.451368539	1.010057859	-0.13053006	0.044458491	-0.947817706	-1.293780355	0.963196209	1.792330635	0.190816422	0.100608775	-0.637231164	0.091581357	0.190816422	-1.051495711	1.484773833	0.435026949	-0.009326096	-1.666698036
C00357	2.54405081	-0.046262534	0.033177099	-1.266120589	2.761559891	-0.138118609	-0.041054275	2.278499515	0.186298294	2.197352493	0.949007086	0.035650639	-0.194403911	0.075219613	1.780572105	0.282682553	-0.854040186	0.196224761	-0.627498882	-0.527759722	-0.342986096	0.030469974	0.100756669	-0.127999136	-0.003877686	2.490163843	-0.900366057	-0.870528798	0.342929776	-0.287409173	3.643870641	0.477924919	-0.321763843	-0.814986183	-1.997131905	-0.767406116	-1.457086489	-0.191374283	-0.287409173	-1.125380468	-0.915095966	1.856725436	-0.052349454	-0.108341269	-0.540784552	-0.43689537	0.32740582	2.384049783	-0.046262534	0.146787425	-0.160478312	0.222081941	-0.074268271	-0.235581049	1.824621928	0.085134393	-0.218100444	-1.089400335
C00009	1.107905229	0.097087563	1.084924457	-0.008469994	2.493595925	0.957027796	1.043927276	1.12109843	1.165493774	1.053236941	0.887996204	0.821966405	-0.265865965	0.288179325	0.256296444	0.907846759	0.077647217	2.082355973	-0.603066915	-0.874839919	0.319669257	0.035539098	0.944973287	-0.244804463	-0.455971635	2.032060513	-0.916749082	-0.714576283	1.281750786	-0.343230449	2.674166404	-0.865579431	-0.301260127	-0.030618566	-1.660561713	-0.635850305	-1.312085806	0.001630561	0.267494034	-0.455971635	-1.084989975	2.674166404	-0.322539432	0.440262107	-0.397816448	-0.117308608	-0.225797844	1.22499357	-0.380651328	-0.088359111	0.045480683	0.771367546	0.193970589	-2.243521612	1.373572818	1.000684327	0.360904477	-0.847195543
C00750	-0.427894154	-0.139271049	1.271638562	-0.62170611	0.262234457	0.41593328	0.084780743	0.303803071	0.171081679	-0.248345914	-0.509165871	0.604490373	-0.855750837	0.120909807	-0.276366973	-0.480603227	-0.704525196	0.771290009	-0.992091982	-0.823484347	0.561146783	-0.304642486	1.000773926	0.572451401	0.074095639	3.405230932	2.897630058	-1.162065876	1.362333473	-0.968088692	-2.059672943	-1.227274989	0.309714226	0.427584194	0.453136685	0.628214215	-0.776156977	-0.021797707	0.89154256	-0.453601916	-0.232032246	1.382672223	-0.330734715	0.241724775	-0.872840233	-0.605299685	-0.320562269	0.062552596	-0.485643156	-0.011066955	-0.232032246	0.664485303	-0.416331636	-1.544557322	0.405102539	0.277714956	0.511168119	-1.563772002
C00579	-1.05507418	0.0781715	0.26873582	-0.10243313	1.29005879	0.95655745	0.99873398	0.22684434	1.56979716	-0.04961413	0.48573239	1.07739239	-0.22372139	0.007328	-0.14467684	0.63468777	0.77019857	2.72362762	-0.33143508	-0.17103218	0.41348887	0.73998705	0.42708717	-1.49014277	-0.6946571	1.17096857	0.78491547	0.69312855	2.57691688	0.60660051	0.53026142	-0.62845261	0.14546065	-0.33143508	-1.07907528	-0.18579743	-1.00461773	0.10586931	1.29005879	-0.4238041	-0.37221896	2.99436876	-0.8200228	0.48573239	-0.407749	0.64914986	-0.35696707	1.0614447	-0.45248462	-0.21096331	-0.04961413	1.21687709	0.13049836	-2.28725209	1.60195753	1.63565923	-0.62845261	-2.03538658
HMDB0029222	0.34189176	0.4868124	0.63725804	0.59910152	0.72216285	0.54595413	0.52947777	0.47514572	0.4868124	0.03429593	-0.2902613	0.44863341	0.34189176	-1.41355809	0.06077327	-0.57796954	0.46059466	0.8231338	0.51604078	0.34947589	0.5621988	-0.53508578	0.50133925	0.4868124	0.50133925	0.63725804	0.47514572	0.47514572	0.58107016	0.50133925	0.63725804	-0.81118677	0.51604078	0.58107016	0.54595413	0.58107016	0.5621988	0.51604078	0.59910152	0.58107016	0.423342	0.51604078	0.52947777	0.61706127	-1.7459771	0.65951177	0.54595413	0.50133925	-0.7052304	-0.69619103	0.54595413	0.58107016	0.58107016	-0.36816661	0.17912817	0.80042525	0.58107016	0.51604078
HMDB0029266	-0.47809233	0.37410982	1.41558948	-0.25041163	1.42961463	0.82286758	0.66974552	-0.15545851	0.69624554	-0.6239846	1.19606906	1.31653132	-0.36820547	0.22441742	-0.36820547	1.1516409	-0.86998673	2.00590477	-1.15345104	-0.82853206	0.43763494	0.9114782	0.76968102	-0.4106277	0.11577039	1.49792133	0.16347448	0.31921008	1.68346014	1.11330774	0.35123796	-1.17307897	0.52392837	0.18470672	-1.73135407	-0.03557731	-0.91180403	0.39869016	0.64548475	-0.36820547	-1.22201914	1.73825614	0.22441742	0.78249587	0.06018565	-0.80772495	0.11577039	0.83650487	-0.33521617	-0.40030518	-0.09779006	0.37410982	0.51094697	-2.2987352	2.04213717	1.49792133	0.58463614	-1.90849713
