C02571	CIDm00000001
C00234	CIDm00000010
C03340	CIDm00000017
C02220	CIDm00000028
C00026	CIDm00000051
C00109	CIDm00000058
C00233	CIDm00000070
C01227	CIDm00000076
C00318	CIDm00000085
C01005	CIDm00000106
C00606	CIDm00000109
C00642	CIDm00000127
C03492	CIDm00000131
C04352	CIDm00000132
C00156	CIDm00000135
C00430	CIDm00000137
C00440	CIDm00000146
C00170	CIDm00000149
C04376	CIDm00000151
C04640	CIDm00000154
C01312	CIDm00000159
C00639	CIDm00000160
C00921	CIDm00000170
C00207	CIDm00000180
C00147	CIDm00000190
C00212	CIDm00000191
C07195	CIDm00000191
C00179	CIDm00000199
C04216	CIDm00000201
C01230	CIDm00000202
C01551	CIDm00000204
C00031	CIDm00000206
C04886	CIDm00000210
C04778	CIDm00000212
C04741	CIDm00000214
C06605	CIDm00000220
C00020	CIDm00000224
C00523	CIDm00000225
C00224	CIDm00000228
C00219	CIDm00000231
C00062	CIDm00000232
C07339	CIDm00000237
C00193	CIDm00000240
C01407	CIDm00000241
C00556	CIDm00000244
C00611	CIDm00000245
HMDB0002759	CIDm00000246
C00486	CIDm00000250
C00500	CIDm00000251
C00120	CIDm00000253
C02010	CIDm00000258
C01412	CIDm00000261
C00246	CIDm00000264
C00307	CIDm00000291
C00942	CIDm00000295
C00918	CIDm00000298
C00695	CIDm00000303
C00187	CIDm00000304
C00114	CIDm00000305
C00903	CIDm00000307
C00417	CIDm00000309
C00158	CIDm00000311
C00055	CIDm00000314
C00128	CIDm00000316
C06577	CIDm00000326
C04225	CIDm00000345
C03401	CIDm00000364
C00077	CIDm00000389
C03594	CIDm00000405
HMDB0001204	CIDm00000416
C00345	CIDm00000422
HMDB0001004	CIDm00000436
C00599	CIDm00000440
C06860	CIDm00000444
HMDB0012227	CIDm00000445
C00951	CIDm00000450
C00392	CIDm00000453
C01545	CIDm00000454
C02918	CIDm00000457
C03427	CIDm00000467
C00956	CIDm00000469
C00831	CIDm00000479
C01893	CIDm00000497
C01143	CIDm00000516
C00988	CIDm00000529
C00664	CIDm00000530
C01234	CIDm00000535
C10172	CIDm00000554
C01169	CIDm00000571
C15658	CIDm00000577
C00300	CIDm00000586
C00791	CIDm00000588
C00063	CIDm00000593
C00491	CIDm00000595
C00475	CIDm00000596
C00993	CIDm00000601
C00041	CIDm00000602
C00085	CIDm00000603
C00257	CIDm00000604
C00352	CIDm00000609
C00025	CIDm00000611
C00148	CIDm00000614
C00559	CIDm00000636
C00526	CIDm00000640
C01909	CIDm00000643
C00362	CIDm00000645
C00741	CIDm00000650
C00415	CIDm00000661
C00579	CIDm00000663
C00184	CIDm00000670
C04332	CIDm00000672
C00822	CIDm00000682
C00842	CIDm00000684
C00365	CIDm00000688
C01054	CIDm00000693
C00279	CIDm00000697
C00468	CIDm00000698
C00016	CIDm00000703
C00448	CIDm00000706
C01847	CIDm00000711
C00122	CIDm00000723
C00353	CIDm00000735
C00064	CIDm00000738
C00329	CIDm00000739
C00489	CIDm00000743
C00051	CIDm00000745
C01921	CIDm00000755
C00242	CIDm00000764
C00387	CIDm00000765
C00135	CIDm00000773
C00155	CIDm00000778
C00544	CIDm00000780
C00262	CIDm00000790
C00407	CIDm00000791
C00463	CIDm00000798
C00637	CIDm00000800
C00954	CIDm00000801
C00294	CIDm00000804
C01822	CIDm00000815
C03406	CIDm00000828
C00441	CIDm00000829
C00542	CIDm00000834
C00355	CIDm00000836
C00788	CIDm00000838
C00507	CIDm00000840
C00669	CIDm00000842
C00328	CIDm00000846
C00408	CIDm00000849
C05688	CIDm00000851
HMDB0003288	CIDm00000851
C00123	CIDm00000857
C06427	CIDm00000860
C00248	CIDm00000863
C00666	CIDm00000865
C00047	CIDm00000866
C00073	CIDm00000876
C00143	CIDm00000884
C01204	CIDm00000890
C01598	CIDm00000896
C01239	CIDm00000897
C00357	CIDm00000898
C00140	CIDm00000899
C00978	CIDm00000903
C00437	CIDm00000907
C00439	CIDm00000909
C02567	CIDm00000916
C00829	CIDm00000931
C00153	CIDm00000936
C00253	CIDm00000937
C00745	CIDm00000942
C00712	CIDm00000965
C00510	CIDm00000966
C00295	CIDm00000967
C00209	CIDm00000971
C05379	CIDm00000972
C01179	CIDm00000979
C00870	CIDm00000980
C00517	CIDm00000984
C00249	CIDm00000985
C01134	CIDm00000987
C06604	CIDm00000991
C00121	CIDm00000993
C00079	CIDm00000994
C00146	CIDm00000996
C00166	CIDm00000997
C00601	CIDm00000998
C00009	CIDm00001003
C01606	CIDm00001017
C00931	CIDm00001021
C00427	CIDm00001035
C00314	CIDm00001054
C00022	CIDm00001060
C00390	CIDm00001062
C03722	CIDm00001066
C00580	CIDm00001068
C00376	CIDm00001070
C01136	CIDm00001076
C03451	CIDm00001083
C05684	CIDm00001090
C00750	CIDm00001103
C00319	CIDm00001104
C00042	CIDm00001110
C00089	CIDm00001115
